cat_id,exchange,industry_name,code,name,url
1,HOSE,Bảo hiểm,BIC,Tổng Công ty cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,https://finance.vietstock.vn/BIC-tong-cong-ty-co-phan-bao-hiem-ngan-hang-dau-tu-va-phat-trien-viet-nam.htm
1,HOSE,Tổ chức tín dụng,BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,https://finance.vietstock.vn/BID-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam.htm
5,UPCoM,Phân phối và bán lẻ hàng lâu bền,BIG,CTCP Big Invest Group,https://finance.vietstock.vn/BIG-ctcp-big-invest-group.htm
5,UPCoM,Phát triển và quản lý bất động sản,BII,CTCP Louis Land,https://finance.vietstock.vn/BII-ctcp-louis-land.htm
5,UPCoM,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",BIO,CTCP Vắc xin và Sinh phẩm Nha Trang,https://finance.vietstock.vn/BIO-ctcp-vac-xin-va-sinh-pham-nha-trang.htm
2,HNX,Nguyên vật liệu,BKC,CTCP Khoáng sản Bắc Kạn,https://finance.vietstock.vn/BKC-ctcp-khoang-san-bac-kan.htm
1,HOSE,Nguyên vật liệu,BKG,CTCP Đầu tư BKG Việt Nam,https://finance.vietstock.vn/BKG-ctcp-dau-tu-bkg-viet-nam.htm
5,UPCoM,"Thực phẩm, đồ uống và thuốc lá",BLF,CTCP Thủy sản Bạc Liêu,https://finance.vietstock.vn/BLF-ctcp-thuy-san-bac-lieu.htm
5,UPCoM,Bảo hiểm,BLI,Tổng Công ty cổ phần Bảo hiểm Bảo Long,https://finance.vietstock.vn/BLI-tong-cong-ty-co-phan-bao-hiem-bao-long.htm
5,UPCoM,Vận tải,BLN,CTCP Vận tải và Dịch vụ Liên Ninh,https://finance.vietstock.vn/BLN-ctcp-van-tai-va-dich-vu-lien-ninh.htm
5,UPCoM,"Thực phẩm, đồ uống và thuốc lá",BLT,CTCP Lương thực Bình Định,https://finance.vietstock.vn/BLT-ctcp-luong-thuc-binh-dinh.htm
1,HOSE,Nguyên vật liệu,BMC,CTCP Khoáng sản Bình Định,https://finance.vietstock.vn/BMC-ctcp-khoang-san-binh-dinh.htm
5,UPCoM,Dịch vụ tiện ích,BMD,CTCP Môi trường và Dịch vụ Đô thị Bình Thuận,https://finance.vietstock.vn/BMD-ctcp-moi-truong-va-dich-vu-do-thi-binh-thuan.htm
5,UPCoM,Phân phối và bán lẻ hàng lâu bền,BMF,CTCP Vật liệu Xây dựng và Chất đốt Đồng Nai,https://finance.vietstock.vn/BMF-ctcp-vat-lieu-xay-dung-va-chat-dot-dong-nai.htm
5,UPCoM,Hàng tiêu dùng và trang trí,BMG,CTCP May Bình Minh,https://finance.vietstock.vn/BMG-ctcp-may-binh-minh.htm
1,HOSE,Bảo hiểm,BMI,Tổng Công ty cổ phần Bảo Minh,https://finance.vietstock.vn/BMI-tong-cong-ty-co-phan-bao-minh.htm
5,UPCoM,Nguyên vật liệu,BMJ,CTCP Khoáng sản Miền Đông AHP,https://finance.vietstock.vn/BMJ-ctcp-khoang-san-mien-dong-ahp.htm
5,UPCoM,Tư liệu sản xuất,BMN,CTCP 715,https://finance.vietstock.vn/BMN-ctcp-715.htm
1,HOSE,Nguyên vật liệu,BMP,CTCP Nhựa Bình Minh,https://finance.vietstock.vn/BMP-ctcp-nhua-binh-minh.htm
5,UPCoM,Dịch vụ tài chính,BMS,CTCP Chứng khoán Bảo Minh,https://finance.vietstock.vn/BMS-ctcp-chung-khoan-bao-minh.htm
5,UPCoM,"Thực phẩm, đồ uống và thuốc lá",BMV,CTCP Bột mỳ Vinafood 1,https://finance.vietstock.vn/BMV-ctcp-bot-my-vinafood-1.htm
2,HNX,"Thực phẩm, đồ uống và thuốc lá",BNA,CTCP Tập đoàn Đầu tư Bảo Ngọc,https://finance.vietstock.vn/BNA-ctcp-tap-doan-dau-tu-bao-ngoc.htm
5,UPCoM,Dịch vụ tiện ích,BNW,CTCP Nước sạch Bắc Ninh,https://finance.vietstock.vn/BNW-ctcp-nuoc-sach-bac-ninh.htm
5,UPCoM,Tư liệu sản xuất,BOT,CTCP BOT Cầu Thái Hà,https://finance.vietstock.vn/BOT-ctcp-bot-cau-thai-ha.htm
2,HNX,Nguyên vật liệu,BPC,CTCP VICEM Bao bì Bỉm Sơn,https://finance.vietstock.vn/BPC-ctcp-vicem-bao-bi-bim-son.htm
5,UPCoM,"Thực phẩm, đồ uống và thuốc lá",BQB,CTCP Bia Hà Nội - Quảng Bình,https://finance.vietstock.vn/BQB-ctcp-bia-ha-noi-quang-binh.htm
1,HOSE,Xe và linh kiện,BRC,CTCP Cao su Bến Thành,https://finance.vietstock.vn/BRC-ctcp-cao-su-ben-thanh.htm
5,UPCoM,Nguyên vật liệu,BRR,CTCP Cao su Bà Rịa,https://finance.vietstock.vn/BRR-ctcp-cao-su-ba-ria.htm
5,UPCoM,Dịch vụ tiện ích,BRS,CTCP Dịch vụ Đô thị Bà Rịa,https://finance.vietstock.vn/BRS-ctcp-dich-vu-do-thi-ba-ria.htm
5,UPCoM,Dịch vụ tiện ích,BSA,CTCP Thủy điện Buôn Đôn,https://finance.vietstock.vn/BSA-ctcp-thuy-dien-buon-don.htm
2,HNX,Dịch vụ chuyên biệt và thương mại,BSC,CTCP Dịch vụ Bến Thành,https://finance.vietstock.vn/BSC-ctcp-dich-vu-ben-thanh.htm
5,UPCoM,"Thực phẩm, đồ uống và thuốc lá",BSD,"CTCP Bia, Rượu Sài Gòn - Đồng Xuân",https://finance.vietstock.vn/BSD-ctcp-bia-ruou-sai-gon-dong-xuan.htm
5,UPCoM,Vận tải,BSG,CTCP Xe khách Sài Gòn,https://finance.vietstock.vn/BSG-ctcp-xe-khach-sai-gon.htm
5,UPCoM,"Thực phẩm, đồ uống và thuốc lá",BSH,CTCP Bia Sài Gòn - Hà Nội,https://finance.vietstock.vn/BSH-ctcp-bia-sai-gon-ha-noi.htm
1,HOSE,Dịch vụ tài chính,BSI,CTCP Chứng khoán BIDV,https://finance.vietstock.vn/BSI-ctcp-chung-khoan-bidv.htm
5,UPCoM,"Thực phẩm, đồ uống và thuốc lá",BSL,CTCP Bia Sài Gòn - Sông Lam,https://finance.vietstock.vn/BSL-ctcp-bia-sai-gon-song-lam.htm
5,UPCoM,"Thực phẩm, đồ uống và thuốc lá",BSP,CTCP Bia Sài Gòn - Phú Thọ,https://finance.vietstock.vn/BSP-ctcp-bia-sai-gon-phu-tho.htm
5,UPCoM,"Thực phẩm, đồ uống và thuốc lá",BSQ,CTCP Bia Sài Gòn - Quảng Ngãi,https://finance.vietstock.vn/BSQ-ctcp-bia-sai-gon-quang-ngai.htm
5,UPCoM,Năng lượng,BSR,CTCP Lọc hóa Dầu Bình Sơn,https://finance.vietstock.vn/BSR-ctcp-loc-hoa-dau-binh-son.htm
2,HNX,Truyền thông và giải trí,BST,CTCP Sách và Thiết bị Bình Thuận,https://finance.vietstock.vn/BST-ctcp-sach-va-thiet-bi-binh-thuan.htm
5,UPCoM,Nguyên vật liệu,BT1,CTCP Bảo vệ Thực vật 1 Trung Ương,https://finance.vietstock.vn/BT1-ctcp-bao-ve-thuc-vat-1-trung-uong.htm
5,UPCoM,Nguyên vật liệu,BT6,CTCP Beton 6,https://finance.vietstock.vn/BT6-ctcp-beton-6.htm
5,UPCoM,"Thực phẩm, đồ uống và thuốc lá",BTB,CTCP Bia Hà Nội - Thái Bình,https://finance.vietstock.vn/BTB-ctcp-bia-ha-noi-thai-binh.htm
5,UPCoM,Nguyên vật liệu,BTD,CTCP Bê tông Ly tâm Thủ Đức,https://finance.vietstock.vn/BTD-ctcp-be-tong-ly-tam-thu-duc.htm
5,UPCoM,Nguyên vật liệu,BTG,CTCP Bao bì Tiền Giang,https://finance.vietstock.vn/BTG-ctcp-bao-bi-tien-giang.htm
5,UPCoM,Hàng tiêu dùng và trang trí,BTH,CTCP Chế tạo Biến thế và Vật liệu Điện Hà Nội,https://finance.vietstock.vn/BTH-ctcp-che-tao-bien-the-va-vat-lieu-dien-ha-noi.htm
5,UPCoM,Nguyên vật liệu,BTN,CTCP Đầu tư Bitco Bình Định,https://finance.vietstock.vn/BTN-ctcp-dau-tu-bitco-binh-dinh.htm
1,HOSE,Dịch vụ tiện ích,BTP,CTCP Nhiệt điện Bà Rịa,https://finance.vietstock.vn/BTP-ctcp-nhiet-dien-ba-ria.htm
2,HNX,Nguyên vật liệu,BTS,CTCP Xi măng VICEM Bút Sơn,https://finance.vietstock.vn/BTS-ctcp-xi-mang-vicem-but-son.htm
1,HOSE,Phân phối và bán lẻ hàng lâu bền,BTT,CTCP Thương mại Dịch vụ Bến Thành,https://finance.vietstock.vn/BTT-ctcp-thuong-mai-dich-vu-ben-thanh.htm
5,UPCoM,Dịch vụ chuyên biệt và thương mại,BTU,CTCP Công trình Đô thị Bến Tre,https://finance.vietstock.vn/BTU-ctcp-cong-trinh-do-thi-ben-tre.htm
5,UPCoM,Dịch vụ tiêu dùng,BTV,CTCP Dịch vụ Du lịch Bến Thành,https://finance.vietstock.vn/BTV-ctcp-dich-vu-du-lich-ben-thanh.htm
2,HNX,Dịch vụ tiện ích,BTW,CTCP Cấp nước Bến Thành,https://finance.vietstock.vn/BTW-ctcp-cap-nuoc-ben-thanh.htm
5,UPCoM,Tổ chức tín dụng,BVB,Ngân hàng TMCP Bản Việt,https://finance.vietstock.vn/BVB-ngan-hang-tmcp-ban-viet.htm
