stock_code,date,foreign_buy,percent_foreign_ownership,cash_dividend,dividend_yield,beta,eps,pe,forward_pe,bvps,pb
HSV,2024-12-05,0,0.06,0,0,2.30,189,20.04,14.88,10901,0.35
HT1,2024-12-05,9400,1.33,0,0,0.93,257,45.99,194.05,12733,0.93
HTE,2024-12-05,0,0,0,0,2.37,57,67.25,62.41,10156,0.38
HTG,2024-12-05,0,0.02,7500,0.16,0.67,6126,7.51,7.53,26052,1.77
HTL,2024-12-05,0,30.26,8500,0.30,0.60,4130,6.84,66.97,18195,1.55
HTP,2024-12-05,0,0,0,0,2.99,-634,-4.57,228.35,23692,0.12
HTT,2024-12-05,0,0.72,0,0,0.61,-415,-3.37,4.55,5880,0.24
HTV,2024-12-05,0,5.90,300,0.03,0.07,674,13.67,13.86,25078,0.37
HU1,2024-12-05,0,0.02,300,0.05,0.08,27,221.93,15.55,14904,0.40
HTC,2024-12-05,0,0,1700,0.07,0.71,2104,12.21,11.26,17648,1.46
HU4,2024-12-05,0,0.13,1000,0.09,1.43,590,18.32,6.34,13347,0.81
HTM,2024-12-05,0,0,0,0,0.94,-99,-96.98,-502.03,10025,0.96
HU3,2024-12-05,0,0.31,0,0,1.63,-1269,-2.76,43.75,14308,0.24
HTN,2024-12-05,39000,1,0,0,1.24,504,15.37,10.96,17174,0.45
HTI,2024-12-05,0,15.21,1600,0.10,0.06,2475,6.46,5.32,19569,0.82
HUT,2024-12-05,41100,1.52,0,0,0.61,76,208.39,21.37,13655,1.16
HU6,2024-12-05,0,0,0,0,-0.25,0,0,2059.93,0,0
HUB,2024-12-05,0,1.13,1500,0.08,0.50,2510,7.45,8.20,22640,0.83
HVA,2024-12-05,0,24.29,0,0,0.91,76,80.97,4.21,10368,0.60
HUG,2024-12-05,0,0,3000,0.09,-0.44,3287,10.19,11.88,13980,2.40
HVN,2024-12-05,258500,7.79,0,0,1.91,1794,15.05,-10.23,-5007,-5.39
HVG,2024-12-05,0,0.55,0,0,0,-2771,-0.51,0.91,2901,0.48
HVT,2024-12-05,0,0,3000,0.03,0.79,6289,14.77,9.63,38705,2.40
HVH,2024-12-05,15900,1.05,0,0,0.81,620,13.67,11.48,13683,0.62
