stock_code,date,foreign_buy,percent_foreign_ownership,cash_dividend,dividend_yield,beta,eps,pe,forward_pe,bvps,pb
BNA,2024-05-11,,,,,0.85,2260.0,5.09,4.23,21005.0,0.55
BNW,2024-05-11,,,780.0,0.08,,1314.0,7.0,12.24,11020.0,0.83
BOT,2024-05-11,,0.17,,,1.1,-1227.0,-1.95,28.42,1717.0,1.4
BPC,2024-05-11,,1.35,200.0,0.02,0.79,67.0,140.34,46.39,24596.0,0.38
BQB,2024-05-11,,0.48,,,0.36,-230.0,-15.21,10937.5,4431.0,0.79
BRC,2024-05-11,,1.23,1100.0,0.08,0.15,1854.0,7.31,8.54,16849.0,0.8
BRR,2024-05-11,,,700.0,0.04,-0.07,1276.0,14.5,15.28,12399.0,1.49
BRS,2024-05-11,,,1400.0,0.06,0.02,-62.0,-355.7,6.74,13744.0,1.6
BSA,2024-05-11,,,1980.0,0.09,0.19,478.0,47.34,29.44,14040.0,1.61
BSC,2024-05-11,,4.83,,,0.07,727.0,20.07,18.38,12733.0,1.15
BSD,2024-05-11,,0.4,500.0,0.04,1.52,,,184.94,,
BSG,2024-05-11,,,,,0.04,643.0,18.35,18.05,6035.0,1.96
BSH,2024-05-11,,0.31,2000.0,0.1,-0.08,2261.0,8.84,11.84,17702.0,1.13
BSI,2024-05-11,,40.1,,,1.9,1868.0,25.59,22.93,22306.0,2.14
BSL,2024-05-11,,0.25,700.0,0.07,0.5,734.0,12.94,12.28,10979.0,0.87
BSP,2024-05-11,,,1000.0,0.1,-0.28,324.0,30.57,125.21,14973.0,0.66
BSQ,2024-05-11,,0.01,1500.0,0.08,0.09,1996.0,9.93,9.44,18410.0,1.08
BSR,2024-05-11,,0.66,700.0,0.03,1.7,961.0,21.67,56.26,17940.0,1.16
BST,2024-05-11,,0.22,1300.0,0.09,-0.72,1744.0,8.66,7.91,14033.0,1.08
BT1,2024-05-11,,,800.0,0.06,-0.19,,,9.42,,
BT6,2024-05-11,,8.28,,,,-1264.0,-2.69,7.01,-29147.0,-0.12
BTB,2024-05-11,,0.01,,,-0.77,401.0,13.71,2091.25,14037.0,0.39
BTD,2024-05-11,,,2200.0,0.11,0.91,1443.0,13.44,14.07,39656.0,0.49
BTG,2024-05-11,,,,,-1.01,205.0,31.77,15.47,15349.0,0.42
BTH,2024-05-11,,,700.0,0.02,0.58,19685.0,1.72,2.12,29022.0,1.17
BTN,2024-05-11,,,,,0.76,,,-1.44,,
BTP,2024-05-11,,8.64,3272.0,0.26,0.41,502.0,24.62,41.02,17220.0,0.72
BTS,2024-05-11,,0.12,,,0.32,-1217.0,-4.27,-5.06,9278.0,0.56
BTT,2024-05-11,,4.91,3350.0,0.09,0.22,3337.0,10.64,9.13,28086.0,1.26
BTU,2024-05-11,,,1000.0,0.07,0.34,112.0,125.02,7.43,11159.0,1.25
BTV,2024-05-11,,,,,0.72,1362.0,8.52,9.12,9902.0,1.17
BTW,2024-05-11,,21.8,2212.0,0.06,0.03,5995.0,6.66,6.79,28498.0,1.4
BVB,2024-05-11,,0.08,,,1.47,301.0,37.97,31.55,10933.0,1.05
BVG,2024-05-11,,0.09,,,0.11,-1385.0,-1.59,9.53,5026.0,0.44
BVH,2024-05-11,3500.0,26.64,954.0,0.02,0.88,2570.0,17.04,112.12,31998.0,1.37
BVL,2024-05-11,,,,,-0.57,430.0,23.25,6.99,14247.0,0.7
BVN,2024-05-11,,0.29,,,-0.23,,,4.03,,
BVS,2024-05-11,2100.0,2.55,800.0,0.02,2.73,2556.0,15.73,16.04,34272.0,1.17
BWA,2024-05-11,,,450.0,0.04,0.07,,,26.02,,
BWE,2024-05-11,1700.0,12.01,,,0.9,3158.0,14.25,14.14,24367.0,1.85
BWS,2024-05-11,,0.81,1000.0,0.03,0.1,2973.0,11.43,13.87,11531.0,2.95
BXH,2024-05-11,,,250.0,0.02,0.92,133.0,118.14,83.85,18085.0,0.87
C12,2024-05-11,,,,,,558.0,5.74,3.88,16475.0,0.19
C21,2024-05-11,,0.08,,,0.09,-470.0,-37.26,42.3,35675.0,0.49
C22,2024-05-11,,,1000.0,0.06,0.07,,,7.11,,
C32,2024-05-11,,1.07,,,0.09,83.0,213.74,16.63,36027.0,0.49
C47,2024-05-11,,0.04,,,0.54,232.0,25.84,8.72,12125.0,0.49
C4G,2024-05-11,,,,,1.37,578.0,14.51,11.98,10911.0,0.77
C69,2024-05-11,3000.0,0.38,,,0.72,260.0,26.19,21.01,13592.0,0.5
C92,2024-05-11,,3.7,,,1.04,180.0,20.58,19.66,11622.0,0.32
CAB,2024-05-11,,,326.0,0.03,0.71,656.0,16.78,51.93,12277.0,0.9
CAD,2024-05-11,,3.45,,,2.62,-4237.0,-0.12,5.2,-71532.0,-0.01
CAG,2024-05-11,,,168.0,0.02,0.64,-26.0,-288.53,23.31,10404.0,0.73
CAN,2024-05-11,,26.23,1200.0,0.03,-0.34,-190.0,-187.66,20.07,27601.0,1.29
CAP,2024-05-11,,,5000.0,0.11,0.4,2310.0,20.48,10.32,15719.0,3.01
PLO,2024-11-14,,,,,2.38,,,5.95,,
CAT,2024-05-11,,,1000.0,0.05,-0.18,1135.0,16.52,6.53,11104.0,1.69
CBI,2024-05-11,,,,,-0.71,-826.0,-11.19,79.37,8976.0,1.03
CBS,2024-05-11,,,5500.0,0.16,0.41,,,5.37,,
CC1,2024-05-11,,0.01,,,1.6,764.0,18.59,8.62,12291.0,1.15
CC4,2024-05-11,,,500.0,0.04,-0.29,478.0,25.11,23.13,13525.0,0.89
CCA,2024-05-11,,,800.0,0.05,-1.13,237.0,72.58,17.31,18315.0,0.94
CCC,2024-05-11,,,,,-0.02,753.0,24.58,15.25,14257.0,1.3
CCI,2024-05-11,,2.37,1300.0,0.06,0.18,2079.0,9.86,13.7,15473.0,1.32
CCL,2024-05-11,,1.32,500.0,0.07,1.83,821.0,9.17,7.48,12106.0,0.62
CCM,2024-05-11,,,2000.0,0.04,0.03,7621.0,6.31,5.42,37668.0,1.28
CCP,2024-05-11,,,,,-0.88,-400.0,-81.35,31.2,10849.0,3.0
CCR,2024-05-11,,0.07,450.0,0.03,1.09,678.0,19.76,16.42,11313.0,1.18
CCT,2024-05-11,,0.03,,,-1.5,187.0,62.12,62.61,9455.0,1.23
CCV,2024-05-11,,,3137.0,0.06,0.15,,,10.64,,
CDC,2024-05-11,,1.27,,,0.22,980.0,17.5,7.94,15774.0,1.09
CDG,2024-05-11,,,950.0,0.43,0.34,1538.0,1.43,2.1,13099.0,0.17
CDH,2024-05-11,,,500.0,0.05,2.16,,,4.65,,
CDN,2024-05-11,,,1400.0,0.05,0.1,3024.0,9.82,8.06,17762.0,1.67
CDO,2024-05-11,,0.29,,,0.65,-163.0,-12.92,165.35,6573.0,0.32
CDP,2024-05-11,,,500.0,0.05,0.38,1009.0,10.25,9.69,11731.0,0.88
CDR,2024-05-11,,,500.0,0.04,1.78,,,17.36,,
CE1,2024-05-11,,,,,,,,6.05,,
CEG,2024-05-11,,,250.0,0.03,,,,37.24,,
CEN,2024-05-11,,,,,0.14,-3.0,-693.07,65.14,10072.0,0.21
CEO,2024-05-11,11200.0,5.17,,,2.21,327.0,45.27,53.32,11713.0,1.26
CET,2024-05-11,,0.87,,,-0.45,-29.0,-156.78,5.75,11138.0,0.41
CFM,2024-05-11,,0.53,200.0,0.02,0.35,,,15.17,,
CFV,2024-05-11,,,,,-1.62,2693.0,8.17,68.03,13496.0,1.63
CGV,2024-05-11,,0.14,,,2.5,,,19.7,,
CH5,2024-05-11,,,1100.0,0.07,0.18,,,13.95,,
CHC,2024-05-11,,,,,-1.18,,,25.58,,
CHP,2024-05-11,,3.8,2500.0,0.08,0.12,2110.0,15.78,25.09,12258.0,2.72
CHS,2024-05-11,,3.24,1400.0,0.12,0.47,1429.0,8.12,9.12,12080.0,0.96
CI5,2024-05-11,,,,,0.03,,,54.52,,
CIA,2024-05-11,,0.95,,,0.9,468.0,20.73,44.36,17764.0,0.55
CID,2024-05-11,,2.92,653.0,0.02,-2.15,-105.0,-264.18,,4615.0,5.99
CIG,2024-05-11,,0.05,,,0.35,168.0,51.88,18.38,4968.0,1.76
CII,2024-05-11,,5.83,800.0,0.05,1.6,1598.0,9.29,11.01,29499.0,0.5
CIP,2024-05-11,,,,,1.05,,,28.65,,
CJC,2024-05-11,,0.27,,,,770.0,33.49,37.53,11219.0,2.3
CK8,2024-05-11,,,,,,,,3.97,,
CKA,2024-05-11,,,5000.0,0.12,-0.74,,,6.29,,
CKD,2024-05-11,,0.03,1900.0,0.08,0.01,3093.0,7.31,9.1,16901.0,1.34
CKG,2024-05-11,,0.02,,,0.68,1428.0,18.17,17.41,14977.0,1.73
CKV,2024-05-11,,0.19,1100.0,0.09,1.37,477.0,25.15,17.87,18951.0,0.63
CLC,2024-05-11,,2.26,4000.0,0.08,0.05,6371.0,7.53,10.14,33676.0,1.43
CLG,2024-05-11,,0.53,,,,631.0,0.79,5.44,1254.0,0.4
CLH,2024-05-11,,5.31,2600.0,0.12,0.16,2896.0,7.7,6.69,14923.0,1.49
CLL,2024-05-11,,10.59,2600.0,0.07,-0.13,2916.0,12.96,12.91,17679.0,2.14
CLM,2024-05-11,,,3000.0,0.04,-0.19,18089.0,4.04,10.01,66093.0,1.1
CLW,2024-05-11,,4.79,1600.0,0.04,0.02,3749.0,11.39,11.05,18787.0,2.27
CLX,2024-05-11,,1.34,700.0,0.05,1.89,2192.0,7.02,7.25,20496.0,0.75
CMC,2024-05-11,,,,,0.49,-300.0,-21.66,5.93,13366.0,0.49
CMD,2024-05-11,,0.04,3000.0,0.14,0.19,2779.0,7.94,10.41,21739.0,1.01
CMF,2024-05-11,,24.38,5000.0,0.01,0.52,20528.0,16.45,10.69,114829.0,2.94
CMG,2024-05-11,26100.0,43.35,600.0,0.01,2.01,1861.0,27.57,24.12,18091.0,2.84
CMI,2024-05-11,,0.38,,,-0.35,-574.0,-1.92,0.87,-6620.0,-0.17
CMK,2024-05-11,,,,,,1205.0,7.3,11.8,12005.0,0.73
CMM,2024-05-11,,,,,-0.26,888.0,10.13,10.36,11996.0,0.75
CMN,2024-05-11,,0.06,2600.0,0.04,1.16,2405.0,27.03,11.56,26231.0,2.48
CMP,2024-05-11,,,,,,316.0,25.65,562.11,10779.0,0.75
CMS,2024-05-11,,,,,0.97,176.0,60.94,44.43,10965.0,0.98
CMT,2024-05-11,,3.43,1000.0,0.08,3.21,3653.0,3.53,4.13,23016.0,0.56
CMV,2024-05-11,,0.04,400.0,0.04,0.24,695.0,12.95,14.27,13366.0,0.67
CMW,2024-05-11,,0.01,441.0,0.04,0.16,1016.0,11.22,12.8,11123.0,1.02
CMX,2024-05-11,9000.0,17.04,,,1.35,650.0,11.84,7.47,15180.0,0.51
CNA,2024-05-11,,,,,,,,,,
CNC,2024-05-11,1900.0,6.21,4000.0,0.13,0.61,4449.0,7.11,8.76,106196.0,0.3
CNG,2024-05-11,2100.0,2.85,1200.0,0.04,1.46,3124.0,10.05,12.42,17608.0,1.78
CNN,2024-05-11,,,1215.0,0.03,1.7,,,26.83,,
CNT,2024-05-11,,,100.0,0.01,2.89,4576.0,3.1,6.05,13594.0,1.04
COM,2024-05-11,,0.21,1500.0,0.05,-0.1,2461.0,11.44,24.84,29945.0,0.94
CPA,2024-05-11,,,,,0.63,-396.0,-17.67,-30.32,2293.0,3.05
CPC,2024-05-11,,4.12,1800.0,0.1,0.16,2511.0,7.17,8.8,20846.0,0.86
CPH,2024-05-11,,,1848.0,6.16,,482.0,0.62,0.15,10981.0,0.03
CPI,2024-05-11,,,,,0.46,45.0,89.37,29.2,-661.0,-6.05
CQN,2024-05-11,,,1000.0,0.04,0.62,1591.0,17.6,18.08,12712.0,2.2
CQT,2024-05-11,,,800.0,0.09,-0.44,196.0,45.84,9.96,9735.0,0.92
CRC,2024-05-11,,0.16,,,0.35,1407.0,4.76,7.18,13529.0,0.5
CRE,2024-05-11,11000.0,4.03,,,0.8,68.0,103.28,14.75,12186.0,0.57
CSC,2024-05-11,,,,,1.2,1076.0,23.32,7.18,22641.0,1.11
CSI,2024-05-11,5900.0,33.71,,,3.0,-693.0,-44.8,28.98,10128.0,3.07
CSM,2024-05-11,,0.71,300.0,0.03,0.86,840.0,13.1,14.25,13043.0,0.84
CST,2024-05-11,,,2000.0,0.09,1.64,7304.0,3.05,7.32,25057.0,0.89
