ID,CatID,Exchange,IndustryName,Code,Name,TotalShares,URL,Row,TotalRecord
1895,5,UPCoM,Hàng tiêu dùng và trang trí,HCB,CTCP Dệt may 29/3,5199274,https://finance.vietstock.vn/HCB-ctcp-det-may-29-3.htm,533,3275
1035,2,HNX,Nguyên vật liệu,HCC,CTCP Bê tông Hòa Cầm - Intimex,6518586,https://finance.vietstock.vn/HCC-ctcp-be-tong-hoa-cam-intimex.htm,534,3275
4299,1,HOSE,Nguyên vật liệu,HCD,CTCP Đầu tư Sản xuất và Thương mại HCD,36958816,https://finance.vietstock.vn/HCD-ctcp-dau-tu-san-xuat-va-thuong-mai-hcd.htm,535,3275
2179,5,UPCoM,Phát triển và quản lý bất động sản,HCI,CTCP Đầu tư Xây dựng Hà Nội ,5232000,https://finance.vietstock.vn/HCI-ctcp-dau-tu-xay-dung-ha-noi.htm,536,3275
684,1,HOSE,Dịch vụ tài chính,HCM,CTCP Chứng khoán Thành phố Hồ Chí Minh,704811532,https://finance.vietstock.vn/HCM-ctcp-chung-khoan-thanh-pho-ho-chi-minh.htm,537,3275
1065,2,HNX,Vận tải,HCT,CTCP Thương mại Dịch vụ Vận tải Xi măng Hải Phòng,2016385,https://finance.vietstock.vn/HCT-ctcp-thuong-mai-dich-vu-van-tai-xi-mang-hai-phong.htm,538,3275
2921,5,UPCoM,Phát triển và quản lý bất động sản,HD2,CTCP Đầu tư Phát triển Nhà HUD2,8962353,https://finance.vietstock.vn/HD2-ctcp-dau-tu-phat-trien-nha-hud2.htm,539,3275
1920,5,UPCoM,Phát triển và quản lý bất động sản,HD6,CTCP Đầu tư và Phát triển Nhà Số 6 Hà Nội,15120000,https://finance.vietstock.vn/HD6-ctcp-dau-tu-va-phat-trien-nha-so-6-ha-noi.htm,540,3275
4730,5,UPCoM,Phát triển và quản lý bất động sản,HD8,CTCP Đầu tư Phát triển Nhà và Đô thị HUD8,10000000,https://finance.vietstock.vn/HD8-ctcp-dau-tu-phat-trien-nha-va-do-thi-hud8.htm,541,3275
2641,2,HNX,Nguyên vật liệu,HDA,CTCP Hãng sơn Đông Á,27599967,https://finance.vietstock.vn/HDA-ctcp-hang-son-dong-a.htm,542,3275
1195,1,HOSE,Tổ chức tín dụng,HDB,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,2907632132,https://finance.vietstock.vn/HDB-ngan-hang-tmcp-phat-trien-thanh-pho-ho-chi-minh.htm,543,3275
951,1,HOSE,Phát triển và quản lý bất động sản,HDC,CTCP Phát triển Nhà Bà Rịa - Vũng Tàu,178354966,https://finance.vietstock.vn/HDC-ctcp-phat-trien-nha-ba-ria-vung-tau.htm,544,3275
1511,1,HOSE,Phát triển và quản lý bất động sản,HDG,CTCP Tập đoàn Hà Đô,336331529,https://finance.vietstock.vn/HDG-ctcp-tap-doan-ha-do.htm,545,3275
2316,5,UPCoM,Hàng tiêu dùng và trang trí,HDM,CTCP Dệt may Huế,20096259,https://finance.vietstock.vn/HDM-ctcp-det-may-hue.htm,546,3275
1836,5,UPCoM,Tư liệu sản xuất,HDO,CTCP Hưng Đạo Container,16959879,https://finance.vietstock.vn/HDO-ctcp-hung-dao-container.htm,547,3275
